model,repeat_index,actual_score,expected_score,elapsed_seconds,game_log_path
gpt-4.1,2,562,540.0,46.129,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30/openai-none/game_logs/gpt-4.1_r002.log
gpt-5.4,5,668,576.0,52.188,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30/openai-none/game_logs/gpt-5.4_r005.log
gpt-5.4,1,248,288.0,54.608,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30/openai-none/game_logs/gpt-5.4_r001.log
gpt-5.1,1,504,576.0,54.999,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30/openai-none/game_logs/gpt-5.1_r001.log
gpt-5.1,3,240,240,56.572,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30/openai-none/game_logs/gpt-5.1_r003.log
gpt-5.1,7,240,240,57.261,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30/openai-none/game_logs/gpt-5.1_r007.log
gpt-5.4,6,568,552.0,57.502,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30/openai-none/game_logs/gpt-5.4_r006.log
gpt-5.4,2,608,576.0,57.589,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30/openai-none/game_logs/gpt-5.4_r002.log
gpt-5.4,3,240,240,57.945,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30/openai-none/game_logs/gpt-5.4_r003.log
gpt-5.4,4,240,240,58.198,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30/openai-none/game_logs/gpt-5.4_r004.log
gpt-4.1,5,576,552.0,58.519,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30/openai-none/game_logs/gpt-4.1_r005.log
gpt-4.1,4,642,548.0,58.806,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30/openai-none/game_logs/gpt-4.1_r004.log
gpt-5.1,6,240,240,58.887,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30/openai-none/game_logs/gpt-5.1_r006.log
gpt-5.4,7,240,240,59.017,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30/openai-none/game_logs/gpt-5.4_r007.log
