good_model,bad_model,repeat_index,actual_score,expected_score,elapsed_seconds,match_log_path
gpt-4.1,gpt-5.4,1,240,240,240.685,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_lattices_50x30_pilot8/openai-none/match_logs/gpt-4.1_vs_gpt-5.4_r001.log
gpt-4.1,gpt-4.1,1,318,324.0,240.708,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_lattices_50x30_pilot8/openai-none/match_logs/gpt-4.1_vs_gpt-4.1_r001.log
gpt-4.1,gpt-5.1,1,240,240,244.129,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_lattices_50x30_pilot8/openai-none/match_logs/gpt-4.1_vs_gpt-5.1_r001.log
gpt-4o-mini,gpt-4o-mini,1,232,232,245.789,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_lattices_50x30_pilot8/openai-none/match_logs/gpt-4o-mini_vs_gpt-4o-mini_r001.log
gpt-4o-mini,gpt-4.1,1,144,144,250.342,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_lattices_50x30_pilot8/openai-none/match_logs/gpt-4o-mini_vs_gpt-4.1_r001.log
gpt-4o-mini,gpt-5.4,1,240,240,263.278,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_lattices_50x30_pilot8/openai-none/match_logs/gpt-4o-mini_vs_gpt-5.4_r001.log
gpt-4.1,gpt-4o-mini,1,294,324.0,284.249,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_lattices_50x30_pilot8/openai-none/match_logs/gpt-4.1_vs_gpt-4o-mini_r001.log
gpt-4o-mini,gpt-5.1,1,446,372.0,333.322,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_lattices_50x30_pilot8/openai-none/match_logs/gpt-4o-mini_vs_gpt-5.1_r001.log
gpt-5.1,gpt-4.1,1,552,576.0,241.439,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_lattices_50x30_pilot8/openai-none/match_logs/gpt-5.1_vs_gpt-4.1_r001.log
gpt-5.1,gpt-4o-mini,1,546,556.0,259.574,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_lattices_50x30_pilot8/openai-none/match_logs/gpt-5.1_vs_gpt-4o-mini_r001.log
gpt-5.1,gpt-5.4,1,526,572.0,255.358,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_lattices_50x30_pilot8/openai-none/match_logs/gpt-5.1_vs_gpt-5.4_r001.log
gpt-5.4,gpt-4.1,1,228,264.0,238.381,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_lattices_50x30_pilot8/openai-none/match_logs/gpt-5.4_vs_gpt-4.1_r001.log
gpt-5.1,gpt-5.1,1,238,244.0,266.228,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_lattices_50x30_pilot8/openai-none/match_logs/gpt-5.1_vs_gpt-5.1_r001.log
gpt-5.4,gpt-4o-mini,1,600,576.0,260.838,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_lattices_50x30_pilot8/openai-none/match_logs/gpt-5.4_vs_gpt-4o-mini_r001.log
gpt-5.4,gpt-5.4,1,240,240,231.036,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_lattices_50x30_pilot8/openai-none/match_logs/gpt-5.4_vs_gpt-5.4_r001.log
gpt-5.4,gpt-5.1,1,624,576.0,295.862,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_lattices_50x30_pilot8/openai-none/match_logs/gpt-5.4_vs_gpt-5.1_r001.log
gpt-4o-mini,gpt-4o-mini,2,240,240,230.221,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_lattices_50x30_pilot8/openai-none/match_logs/gpt-4o-mini_vs_gpt-4o-mini_r002.log
gpt-4o-mini,gpt-4.1,2,240,240,225.873,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_lattices_50x30_pilot8/openai-none/match_logs/gpt-4o-mini_vs_gpt-4.1_r002.log
gpt-4.1,gpt-4o-mini,2,256,280.0,220.536,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_lattices_50x30_pilot8/openai-none/match_logs/gpt-4.1_vs_gpt-4o-mini_r002.log
gpt-4o-mini,gpt-5.4,2,232,232,238.04,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_lattices_50x30_pilot8/openai-none/match_logs/gpt-4o-mini_vs_gpt-5.4_r002.log
gpt-4.1,gpt-4.1,2,242,284.0,242.218,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_lattices_50x30_pilot8/openai-none/match_logs/gpt-4.1_vs_gpt-4.1_r002.log
gpt-4o-mini,gpt-5.1,2,368,328.0,286.004,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_lattices_50x30_pilot8/openai-none/match_logs/gpt-4o-mini_vs_gpt-5.1_r002.log
