good_model,bad_model,repeat_index,actual_score,expected_score,elapsed_seconds,match_log_path
gpt-4.1,gpt-4.1,1,240,264.0,112.607,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_lattices_50x30_extra/openai-none/match_logs/gpt-4.1_vs_gpt-4.1_r001.log
gpt-4.1,gpt-5.4,2,248,248.0,120.217,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_lattices_50x30_extra/openai-none/match_logs/gpt-4.1_vs_gpt-5.4_r002.log
gpt-5.4,gpt-5.4,5,240,240,123.165,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_lattices_50x30_extra/openai-none/match_logs/gpt-5.4_vs_gpt-5.4_r005.log
gpt-5.4,gpt-5.4,7,240,240,127.192,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_lattices_50x30_extra/openai-none/match_logs/gpt-5.4_vs_gpt-5.4_r007.log
gpt-5.4,gpt-4.1,2,450,508.0,127.965,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_lattices_50x30_extra/openai-none/match_logs/gpt-5.4_vs_gpt-4.1_r002.log
gpt-5.4,gpt-5.4,3,240,240,128.707,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_lattices_50x30_extra/openai-none/match_logs/gpt-5.4_vs_gpt-5.4_r003.log
gpt-5.4,gpt-4.1,6,680,576.0,128.92,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_lattices_50x30_extra/openai-none/match_logs/gpt-5.4_vs_gpt-4.1_r006.log
gpt-5.4,gpt-4.1,8,240,240,132.071,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_lattices_50x30_extra/openai-none/match_logs/gpt-5.4_vs_gpt-4.1_r008.log
gpt-5.4,gpt-4.1,3,456,480.0,133.134,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_lattices_50x30_extra/openai-none/match_logs/gpt-5.4_vs_gpt-4.1_r003.log
gpt-5.1,gpt-4.1,4,240,240,133.219,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_lattices_50x30_extra/openai-none/match_logs/gpt-5.1_vs_gpt-4.1_r004.log
gpt-5.4,gpt-5.4,4,228,264.0,135.515,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_lattices_50x30_extra/openai-none/match_logs/gpt-5.4_vs_gpt-5.4_r004.log
gpt-4o-mini,gpt-4o-mini,4,240,240,136.319,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_lattices_50x30_extra/openai-none/match_logs/gpt-4o-mini_vs_gpt-4o-mini_r004.log
gpt-4.1,gpt-5.4,1,240,240,136.459,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_lattices_50x30_extra/openai-none/match_logs/gpt-4.1_vs_gpt-5.4_r001.log
