good_model,bad_model,repeat_index,actual_score,expected_score,elapsed_seconds,match_log_path
gpt-4.1,gpt-4o-mini,1,268,272.0,101.559,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_lattices_50x30_part2/openai-none/match_logs/gpt-4.1_vs_gpt-4o-mini_r001.log
gpt-5.1,gpt-4o-mini,1,588,576.0,111.976,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_lattices_50x30_part2/openai-none/match_logs/gpt-5.1_vs_gpt-4o-mini_r001.log
gpt-5.4,gpt-4o-mini,2,240,280.0,116.023,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_lattices_50x30_part2/openai-none/match_logs/gpt-5.4_vs_gpt-4o-mini_r002.log
gpt-5.1,gpt-4.1,1,258,276.0,117.7,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_lattices_50x30_part2/openai-none/match_logs/gpt-5.1_vs_gpt-4.1_r001.log
gpt-5.4,gpt-4o-mini,1,248,304.0,118.689,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_lattices_50x30_part2/openai-none/match_logs/gpt-5.4_vs_gpt-4o-mini_r001.log
gpt-5.1,gpt-4.1,2,632,576.0,121.425,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_lattices_50x30_part2/openai-none/match_logs/gpt-5.1_vs_gpt-4.1_r002.log
gpt-5.4,gpt-4.1,2,648,552.0,123.376,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_lattices_50x30_part2/openai-none/match_logs/gpt-5.4_vs_gpt-4.1_r002.log
gpt-4o-mini,gpt-4o-mini,2,232,232,125.722,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_lattices_50x30_part2/openai-none/match_logs/gpt-4o-mini_vs_gpt-4o-mini_r002.log
gpt-5.1,gpt-5.4,1,294,268.0,130.625,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_lattices_50x30_part2/openai-none/match_logs/gpt-5.1_vs_gpt-5.4_r001.log
gpt-4o-mini,gpt-4.1,2,240,240,130.637,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_lattices_50x30_part2/openai-none/match_logs/gpt-4o-mini_vs_gpt-4.1_r002.log
gpt-4o-mini,gpt-5.4,1,240,240,131.506,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_lattices_50x30_part2/openai-none/match_logs/gpt-4o-mini_vs_gpt-5.4_r001.log
gpt-5.4,gpt-4.1,1,464,472.0,132.001,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_lattices_50x30_part2/openai-none/match_logs/gpt-5.4_vs_gpt-4.1_r001.log
gpt-4o-mini,gpt-4o-mini,1,240,240,133.232,/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_lattices_50x30_part2/openai-none/match_logs/gpt-4o-mini_vs_gpt-4o-mini_r001.log
